Port,SupplyDemand,Num Samples
Ceuta-e2de790bdd0f,Demand,53
Ceuta-e2de790bdd0f,Supply,38
Ceyhan-3b530c868db0,Demand,51
Ceyhan-3b530c868db0,Supply,26
Chalmette-195ea9ec9b9d,Demand,881
Changxingdao-5c16d1a2a8e9,Demand,42
Changxingdao-5c16d1a2a8e9,Supply,21
Charco Azul-07e1063ddabf,Demand,36
Charco Azul-07e1063ddabf,Supply,13
Chennai-b824911cec6f,Demand,562
Cherbourg-61cd5e165c61,Demand,687
Cherry Point-69fb11f0514e,Demand,28
Cherry Point-69fb11f0514e,Supply,13
Chiba-6cce4016be7b,Demand,46
Chiba-6cce4016be7b,Supply,11
Chiriqui Grande-4479d7260a3a,Demand,164
Chiriqui Grande-4479d7260a3a,Supply,14
Chisepo-478015b7d098,Demand,1012
Chisepo-478015b7d098,Supply,195
Chittagong-68f7430b285f,Demand,29
Cienfuegos-b7bb7d28b57f,Demand,53
Cigading-b43a4e1b01ee,Demand,32
Cinta-3a938c039496,Supply,61
Coatzacoalcos-230dbf9a65a3,Demand,21
Coatzacoalcos-230dbf9a65a3,Supply,484
Cockatoo Island-e15fd694df57,Supply,120
Coden-32c1141edbaa,Demand,28
Coden-32c1141edbaa,Supply,20
Collo-118a9d1325e2,Supply,1391
Colombo-04104bbca75f,Demand,384
Colombo-04104bbca75f,Supply,292
Colon-c99513f17c23,Demand,454
Colon-c99513f17c23,Supply,434
Come By Chance Harbor-84989c92b9a6,Demand,70
Come By Chance Harbor-84989c92b9a6,Supply,12
Comodoro Rivadavia-9d8471f8614d,Demand,16
Comodoro Rivadavia-9d8471f8614d,Supply,173
Conchan-b7b91348d404,Demand,18
Constantza-8640b9ce4f82,Demand,9
Constantza-8640b9ce4f82,Supply,48
Cork-5b70e0e2edb0,Demand,568
Cork-5b70e0e2edb0,Supply,64
Corpus Christi-7a30d31f121f,Demand,104
Corpus Christi-7a30d31f121f,Supply,373
Cossack-71584b369f53,Supply,27
Covenas-76285da2ae54,Demand,615
Covenas-76285da2ae54,Supply,39
Cowes Harbor-492fd1fcdad3,Demand,23
Cristobal-7a0a146c6f4c,Demand,20
Cyrus Terminal-7929470e34f7,Supply,14
Daesan-5e616be98516,Demand,22
Daesan-5e616be98516,Supply,98
Daishan-8d1d2ae11d71,Demand,21
Daishan-8d1d2ae11d71,Supply,586
Dakar-c995aa8a2b7f,Demand,33
Dakar-c995aa8a2b7f,Supply,28
Dalian-641923403d46,Demand,195
Dalian-641923403d46,Supply,691
Dampier-0770da9372ac,Supply,11
Dar-es-Salaam-9761ca3cc83c,Demand,33
Das Island-6bbe24b74298,Demand,1923
Das Island-6bbe24b74298,Supply,11
Davant-8ed4143ccb1f,Demand,51
Davant-8ed4143ccb1f,Supply,96
De Kastri-152e8b122f41,Supply,1308
Deendayal (Kandla)-cb8c572f1f7c,Demand,12
Deendayal (Kandla)-cb8c572f1f7c,Supply,1053
Delair-c0288683f54a,Demand,33
Delair-c0288683f54a,Supply,13
Delaware-b7084da9a089,Demand,9
Delaware-b7084da9a089,Supply,10
Delma-ebf81718f685,Demand,29
Delma-ebf81718f685,Supply,55
Destrehan-3e0eb54ab1e0,Demand,95
Destrehan-3e0eb54ab1e0,Supply,407
Dibba-63aec6d8d867,Supply,18
Djeno-e44e1a5065f3,Supply,25
Doha-334c3d200e3d,Supply,128
Donges-29e6374381eb,Demand,47
Donges-29e6374381eb,Supply,650
Dongjiakou-192facca7a0e,Demand,18
Dongjiakou-192facca7a0e,Supply,50
Dongying-5b327b4206b2,Demand,9
Dongying-5b327b4206b2,Supply,48
Dortyol-c92e8c6577c4,Supply,563
Dos Bocas-51ae87032a0e,Demand,29
Dos Bocas-51ae87032a0e,Supply,22
Dubai-dd89e73f6ea8,Demand,100
Dubai-dd89e73f6ea8,Supply,10
Dumai-2e7d15752dc3,Demand,257
Dumai-2e7d15752dc3,Supply,290
Dung Quat-6cad81c97377,Demand,219
Dunkirk-b1108d988a99,Demand,17
Durban-2c15a692c2d1,Demand,201
Durban-2c15a692c2d1,Supply,260
El Hamra Oil Terminal-c68ec7f166d6,Supply,94
El Palito-45b3dde23b18,Demand,24
El Palito-45b3dde23b18,Supply,20
El Segundo-44e37d0a9803,Demand,11
El Segundo-44e37d0a9803,Supply,1129
El Tablazo-8969089cb572,Supply,16
El-adabiya-794d933b1efe,Demand,43
Elevsis-fbce199af529,Demand,201
Ennore-c2e869988696,Demand,755
Ensted-599085667443,Supply,15
Erawan Terminal-18706d4ae0a3,Supply,78
Es Sider-7b388828f370,Supply,20
Escombreras-8ff2f5149d51,Demand,21
Escombreras-8ff2f5149d51,Supply,48
Escravos-d10fa4d128c1,Supply,30
Esmeraldas-2296c98900e5,Supply,16
Espevik-a06db0b14de5,Supply,29
Everingen-b13bb9bb37c6,Supply,523
Exmouth-8319bd3b7298,Supply,54
Eyemouth-c92fdb008442,Supply,54
Ez Zueitina-df251b334fca,Supply,20
Falconara-dded61335358,Demand,35
Fanara-d8097cc33917,Demand,1019
Fanara-d8097cc33917,Supply,39
Fangcheng-e432e416e141,Demand,136
Fangcheng-e432e416e141,Supply,155
Fateh Terminal-07b4753abaf1,Supply,269
Fawley-a9deff035346,Demand,31
Fawley-a9deff035346,Supply,23
Fedje-7d42a4d15909,Supply,33
Felton-75d2c607efac,Demand,10
Ferndale-202bfe1fc498,Demand,426
Ferndale-202bfe1fc498,Supply,138
Ferrol-95cf5ab44ffa,Demand,55
Ferrol-95cf5ab44ffa,Supply,13
Finnart Oil Terminal-68b4bb1f9d17,Demand,659
Forcados-344ee102e813,Supply,89
Fort De France-e336039d97b0,Demand,65
Fortaleza-5baebe8b4683,Demand,344
Forties Terminal-758cde43cb57,Supply,22
Fos-a89094aa52c0,Demand,19
Fos-a89094aa52c0,Supply,44
Fraserburgh Harbor-6dfcea86689c,Supply,70
Fredericia-2ce2fe57cad8,Supply,11
Frederikshavn-09d8333af9ca,Demand,13
Frederikshavn-09d8333af9ca,Supply,571
Freeport-3415bc29dc8c,Demand,12
Freeport-3415bc29dc8c,Supply,158
Freeport-fd2e0532af21,Demand,564
Freeport-fd2e0532af21,Supply,34
Fremantle-4a5c2747a538,Demand,1008
Fremantle-4a5c2747a538,Supply,1225
Fuik Bay-bf0ab432d8f5,Demand,28
Fuik Bay-bf0ab432d8f5,Supply,31
Fujairah-ca26fade3b91,Demand,4995
Fujairah-ca26fade3b91,Supply,660
Fulmar Terminal-dd94ed4fe8fa,Supply,20
Galeota Point-0c028f687ae9,Supply,723
Galle Harbor-5d159c090d3b,Demand,181
Galle Harbor-5d159c090d3b,Supply,46
Galtby-cc4d98f09f61,Demand,38
Galveston-80916f3912d8,Demand,83
Galveston-80916f3912d8,Supply,59
Gamba-1049c893b584,Supply,11
Ganyu-b9e49bd08429,Demand,10
Garyville-04c030e40e80,Demand,119
Gdansk-34ceedb9667f,Demand,12
Gdansk-34ceedb9667f,Supply,24
Gedser-86f23e05be91,Demand,24
Gedser-86f23e05be91,Supply,15
Geelong-80cda7bf3ed2,Demand,429
Geelong-80cda7bf3ed2,Supply,83
Geisum Terminal-715734f5be45,Demand,2186
Gelendzhik-4f847e0e589a,Supply,503
Gelibolu-15f5e85c3281,Demand,41
Gelibolu-15f5e85c3281,Supply,25
Genoa-65f8cdf3c546,Demand,172
Genoa-65f8cdf3c546,Supply,296
George Town-1221ebf98ef5,Demand,57
Gibraltar-1fcc4603c786,Demand,181
Gibraltar-1fcc4603c786,Supply,291
Gombe Beta Terminal-c62d043fa5f7,Supply,12
Good Hope-431d3b6c8970,Demand,222
Good Hope-431d3b6c8970,Supply,166
Gorm Terminal-6743587d7141,Supply,101
Gothenburg-de0033e99214,Demand,15
Gothenburg-de0033e99214,Supply,29
Goto Oil Terminal-bc3f343bfee1,Demand,65
Goto Oil Terminal-bc3f343bfee1,Supply,32
Gramercy-f85565631382,Demand,47
Gramercy-f85565631382,Supply,306
Grand Cul De Sac Bay-8f457aa4d65c,Demand,110
Grand Cul De Sac Bay-8f457aa4d65c,Supply,52
Great Yarmouth-b48776078bc6,Demand,17
Great Yarmouth-b48776078bc6,Supply,111
Greenville-91bdcff51488,Supply,97
Gretna-b35f7810ad7c,Supply,21
Grimsby-d6f49c2e1bad,Demand,499
Grimsby-d6f49c2e1bad,Supply,631
Gryphon Terminal-c60fa19a5389,Supply,25
Guamare Oil Terminal-0c8a73f24606,Supply,16
Guaranao Bay-80e98c0db688,Demand,765
Guaranao Bay-80e98c0db688,Supply,23
Guayanilla-422800078285,Demand,176
Guiria-f17a49448be0,Supply,41
Gulei-276457416195,Demand,160
Gulf Gateway-e0932031b5b6,Demand,31
Gulf Gateway-e0932031b5b6,Supply,156
Gullfaks Terminal-58491a793280,Supply,12
Gunsan-6a244100846b,Demand,12
Gwadar-38dd638e81c2,Demand,31
Gwangyang-11ecb2ca4f7f,Demand,43
